date;time;F__100093_cut.csv__Column_1_43
16.06.2011;00:15;194,91719
16.06.2011;00:30;198,05407
16.06.2011;00:45;196,32724
16.06.2011;01:00;199,53145
16.06.2011;01:15;198,95599
16.06.2011;01:30;195,12656
16.06.2011;01:45;194,28772
16.06.2011;02:00;194,82446
16.06.2011;02:15;196,95811
16.06.2011;02:30;196,02107
16.06.2011;02:45;196,91604
16.06.2011;03:00;196,00298
16.06.2011;03:15;196,48103
16.06.2011;03:30;195,81393
16.06.2011;03:45;195,93374
16.06.2011;04:00;196,08438
16.06.2011;04:15;196,57287
16.06.2011;04:30;195,7355
16.06.2011;04:45;195,96042
16.06.2011;05:00;196,45889
16.06.2011;05:15;196,69905
16.06.2011;05:30;196,70931
16.06.2011;05:45;197,3923
16.06.2011;06:00;197,15745
16.06.2011;06:15;201,76048
16.06.2011;06:30;202,99944
16.06.2011;06:45;199,80986
16.06.2011;07:00;200,64301
16.06.2011;07:15;197,5792
16.06.2011;07:30;207,5195
16.06.2011;07:45;217,14129
16.06.2011;08:00;213,36342
16.06.2011;08:15;203,07943
16.06.2011;08:30;212,81993
16.06.2011;08:45;220,45063
16.06.2011;09:00;216,54425
16.06.2011;09:15;217,42487
16.06.2011;09:30;217,4691
16.06.2011;09:45;232,81772
16.06.2011;10:00;232,18441
16.06.2011;10:15;231,83212
16.06.2011;10:30;228,43989
16.06.2011;10:45;227,67735
16.06.2011;11:00;227,37027
16.06.2011;11:15;229,75179
16.06.2011;11:30;229,88672
16.06.2011;11:45;226,88699
16.06.2011;12:00;227,02214
16.06.2011;12:15;227,4292
16.06.2011;12:30;226,65975
16.06.2011;12:45;227,96477
16.06.2011;13:00;230,22252
16.06.2011;13:15;229,34387
16.06.2011;13:30;231,29462
16.06.2011;13:45;232,15122
16.06.2011;14:00;235,53903
16.06.2011;14:15;232,83714
16.06.2011;14:30;232,50561
16.06.2011;14:45;229,46401
16.06.2011;15:00;228,77437
16.06.2011;15:15;231,28834
16.06.2011;15:30;233,05178
16.06.2011;15:45;231,40422
16.06.2011;16:00;226,98734
16.06.2011;16:15;224,52092
16.06.2011;16:30;220,50263
16.06.2011;16:45;216,65484
16.06.2011;17:00;219,04854
16.06.2011;17:15;216,48276
16.06.2011;17:30;216,48461
16.06.2011;17:45;214,74957
16.06.2011;18:00;214,91519
16.06.2011;18:15;217,11047
16.06.2011;18:30;214,33571
16.06.2011;18:45;215,0018
16.06.2011;19:00;212,83184
16.06.2011;19:15;211,7296
16.06.2011;19:30;212,62305
16.06.2011;19:45;210,44273
16.06.2011;20:00;208,70236
16.06.2011;20:15;210,78476
16.06.2011;20:30;210,03902
16.06.2011;20:45;208,06429
16.06.2011;21:00;208,66752
16.06.2011;21:15;207,82455
16.06.2011;21:30;208,6664
16.06.2011;21:45;209,83045
16.06.2011;22:00;207,49626
16.06.2011;22:15;203,98222
16.06.2011;22:30;201,81607
16.06.2011;22:45;201,70125
16.06.2011;23:00;203,05125
16.06.2011;23:15;201,38068
16.06.2011;23:30;200,96643
16.06.2011;23:45;198,54848
17.06.2011;00:00;200,96053
17.06.2011;00:15;189,36478
17.06.2011;00:30;194,99361
17.06.2011;00:45;185,51387
17.06.2011;01:00;178,78199
17.06.2011;01:15;181,01695
17.06.2011;01:30;174,69297
17.06.2011;01:45;174,21668
17.06.2011;02:00;180,08037
17.06.2011;02:15;182,77386
17.06.2011;02:30;184,19149
17.06.2011;02:45;184,43104
17.06.2011;03:00;179,72836
17.06.2011;03:15;185,97123
17.06.2011;03:30;182,81628
17.06.2011;03:45;184,29079
17.06.2011;04:00;184,69186
17.06.2011;04:15;186,50975
17.06.2011;04:30;183,81986
17.06.2011;04:45;183,77829
17.06.2011;05:00;185,74284
17.06.2011;05:15;185,01868
17.06.2011;05:30;184,96178
17.06.2011;05:45;188,37098
17.06.2011;06:00;186,02873
17.06.2011;06:15;189,06209
17.06.2011;06:30;193,60644
17.06.2011;06:45;188,22108
17.06.2011;07:00;194,65915
17.06.2011;07:15;187,28461
17.06.2011;07:30;201,12856
17.06.2011;07:45;206,93627
17.06.2011;08:00;208,20961
17.06.2011;08:15;199,56351
17.06.2011;08:30;202,7998
17.06.2011;08:45;209,85836
17.06.2011;09:00;211,59104
17.06.2011;09:15;212,44964
17.06.2011;09:30;211,8797
17.06.2011;09:45;225,83519
17.06.2011;10:00;227,82613
17.06.2011;10:15;231,74084
17.06.2011;10:30;223,07386
17.06.2011;10:45;221,86972
17.06.2011;11:00;225,24559
17.06.2011;11:15;223,68699
17.06.2011;11:30;225,84398
17.06.2011;11:45;221,54621
17.06.2011;12:00;223,41995
17.06.2011;12:15;222,15775
17.06.2011;12:30;221,25904
17.06.2011;12:45;224,76962
17.06.2011;13:00;225,60952
17.06.2011;13:15;224,52602
17.06.2011;13:30;229,59763
17.06.2011;13:45;224,24018
17.06.2011;14:00;228,92736
17.06.2011;14:15;229,0014
17.06.2011;14:30;231,82523
17.06.2011;14:45;220,38114
17.06.2011;15:00;230,90595
17.06.2011;15:15;224,1976
17.06.2011;15:30;227,88736
17.06.2011;15:45;232,20645
17.06.2011;16:00;225,16485
17.06.2011;16:15;222,94491
17.06.2011;16:30;222,07932
17.06.2011;16:45;217,74271
17.06.2011;17:00;220,29439
17.06.2011;17:15;219,04208
17.06.2011;17:30;220,37568
17.06.2011;17:45;219,69837
17.06.2011;18:00;216,68559
17.06.2011;18:15;220,7161
17.06.2011;18:30;218,09648
17.06.2011;18:45;216,16698
17.06.2011;19:00;216,83942
17.06.2011;19:15;214,21157
17.06.2011;19:30;214,22026
17.06.2011;19:45;213,60182
17.06.2011;20:00;211,38588
17.06.2011;20:15;212,78925
17.06.2011;20:30;213,14443
17.06.2011;20:45;212,44058
17.06.2011;21:00;214,50556
17.06.2011;21:15;215,52615
